INTERNAL_ROLE_CD;RESPONSIBILITIES;ID
ADMIN;calendarView;
ADMIN;calendarYearView;
ADMIN;clientSales;
ADMIN;clienteditcontacts;
ADMIN;clienteditcreatecontact;
ADMIN;clienteditgeneral;
ADMIN;clienteditoverview;
ADMIN;clientlist;
ADMIN;clientview;
ADMIN;dashboard;
ADMIN;meetingedit;
ADMIN;meetinglist;
ADMIN;meetingview;
ADMIN;saleedit;
ADMIN;salelist;
BUSINESS_ADMIN;deletedJobs;
BUSINESS_ADMIN;dictionaryAdmin;
BUSINESS_ADMIN;enqueuedJobs;
BUSINESS_ADMIN;failedJobs;
BUSINESS_ADMIN;lovCreateExternal;
BUSINESS_ADMIN;lovUpdateExternal;
BUSINESS_ADMIN;lovlistexternal;
BUSINESS_ADMIN;processingJobs;
BUSINESS_ADMIN;responsibilitiesActionAdmin;
BUSINESS_ADMIN;responsibilitiesAdmin;
BUSINESS_ADMIN;scheduledJobs;
BUSINESS_ADMIN;succeededJobs;
BUSINESS_ADMIN;meetinglist;
CXBOX_USER;calendarView;
CXBOX_USER;calendarYearView;
CXBOX_USER;clientSales;
CXBOX_USER;clienteditcontacts;
CXBOX_USER;clienteditcreatecontact;
CXBOX_USER;clienteditgeneral;
CXBOX_USER;clienteditoverview;
CXBOX_USER;clientlist;
CXBOX_USER;clientview;
CXBOX_USER;dashboard;
CXBOX_USER;deletedJobs;
CXBOX_USER;dictionaryAdmin;
CXBOX_USER;enqueuedJobs;
CXBOX_USER;failedJobs;
CXBOX_USER;lovCreateExternal;
CXBOX_USER;lovUpdateExternal;
CXBOX_USER;lovlistexternal;
CXBOX_USER;meetingedit;
CXBOX_USER;meetinglist;
CXBOX_USER;meetingview;
CXBOX_USER;processingJobs;
CXBOX_USER;responsibilitiesActionAdmin;
CXBOX_USER;responsibilitiesAdmin;
CXBOX_USER;saleedit;
CXBOX_USER;salelist;
CXBOX_USER;scheduledJobs;
CXBOX_USER;succeededJobs;
